Módulo de Análise: Origem de Dados da Coleta;;;;;;
Data de solicitação 26/02/2020;;;;;;
Período Solicitado de 01/01/2020 até 31/01/2020;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Qualidade;Origem;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;1;100,75;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;2;100,965;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;3;99,189;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;4;101,555;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;5;94,584;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;6;103,929;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;7;101,281;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;8;98,688;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;9;103,244;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;10;105,42;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;11;101,733;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;12;108,414;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;13;111,607;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;14;109,469;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;15;115,09;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;16;110,882;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;17;103,477;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;18;103,092;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;19;104,515;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;20;98,353;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;21;103,768;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;22;105,581;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;23;100,77;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);01/01/2020;24;98,86;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;1;98,949;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;2;97,839;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;3;98,545;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;4;98,91;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;5;97,632;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;6;105,79;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;7;136,413;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;8;134,644;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;9;141,398;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;10;149,017;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;11;142,035;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;12;153,463;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;13;151,272;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;14;152,45;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;15;148,307;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;16;155,018;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;17;139,19;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;18;141,967;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;19;134,469;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;20;127,914;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;21;127,639;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;22;129,877;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;23;102,923;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;24;94,786;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;1;90,944;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;2;92,017;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;3;89,574;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;4;90,59;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;5;84,854;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;6;90,636;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;7;101,278;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;8;126,408;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;9;133,381;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;10;141,258;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;11;141,113;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;12;145,688;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;13;142,371;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;14;148,74;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;15;154,956;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;16;154,498;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;17;141,634;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;18;146,664;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;19;146,182;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;20;139,137;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;21;135,855;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;22;133,949;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;23;108,059;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;24;94,95;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;1;96,525;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;2;92,571;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;3;93,275;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;4;88,391;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;5;85,592;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;6;90,129;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;7;104,125;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;8;130,799;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;9;130,507;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;10;135,676;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;11;137,734;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;12;140,629;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;13;140,885;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;14;143,381;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;15;148,592;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;16;151,69;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;17;140,811;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;18;148,04;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;19;145,433;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;20;139,831;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;21;133,305;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;22;136,484;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;23;105,69;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;24;99,023;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;1;93,231;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;2;94,82;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;3;88,427;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;4;90,78;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;5;84,94;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;6;92,701;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;7;102,168;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;8;128,993;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;9;128,045;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;10;136,624;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;11;137,526;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;12;144,227;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;13;149,63;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;14;147,52;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;15;147,417;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;16;142,864;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;17;134,747;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;18;137,666;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;19;127,331;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;20;119,625;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;21;99,28;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;22;98,754;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;23;91,926;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);05/01/2020;24;91,035;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;1;85,777;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;2;89,459;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;3;83,334;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;4;85,293;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;5;83,638;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;6;89,802;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;7;98,954;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;8;131,672;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;9;136,675;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;10;141,449;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;11;137,943;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;12;147,911;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;13;145,735;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;14;142,069;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;15;150,53;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;16;148,154;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;17;140,694;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;18;142,989;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;19;145,535;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;20;137,912;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;21;140,242;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;22;135,947;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;23;109,577;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);06/01/2020;24;100,797;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;1;93,37;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;2;94,756;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;3;94,049;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;4;89,331;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;5;90,826;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;6;92,929;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;7;100,029;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;8;133,13;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;9;142,146;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;10;140,352;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;11;141,92;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;12;153,513;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;13;153,1;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;14;157,803;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;15;163,483;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;16;164,734;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;17;149,871;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;18;151,718;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;19;151,758;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;20;138,741;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;21;137,599;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;22;137,944;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;23;104,979;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);07/01/2020;24;101,751;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;1;94,506;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;2;96,409;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;3;93,62;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;4;91,276;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;5;87,83;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;6;94,794;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;7;97,8;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;8;134,508;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;9;135,701;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;10;144,096;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;11;150,206;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;12;152,255;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;13;140,976;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;14;144,664;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;15;151,671;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;16;154,258;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;17;137,925;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;18;143,333;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;19;143,837;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;20;129,627;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;21;131,142;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;22;131,667;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;23;103,486;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);08/01/2020;24;102,764;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;1;97,926;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;2;96,237;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;3;94,681;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;4;93,574;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;5;90,154;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;6;96,654;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;7;98,933;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;8;133,071;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;9;137,026;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;10;142,763;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;11;144,254;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;12;151,839;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;13;158,348;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;14;151,909;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;15;159,455;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;16;150,404;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;17;142,777;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;18;147,876;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;19;151,068;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;20;138,622;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;21;143,398;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;22;139,451;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;23;111,024;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);09/01/2020;24;101,874;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;1;99,363;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;2;97,316;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;3;98,198;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;4;96,543;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;5;91,372;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;6;95,427;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;7;107,423;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;8;134,62;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;9;133,88;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;10;140,029;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;11;141,774;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;12;151,027;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;13;156,219;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;14;153,245;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;15;160,097;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;16;159,24;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;17;146,416;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;18;151,628;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;19;153,684;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;20;143,293;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;21;144,029;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;22;142,959;Completo;COLETA DIÁRIA;
DELTA SUPERMERCADO;SPDSBAENTR101 (L);10/01/2020;23;113,25;Completo;COLETA DIÁRIA;
