"Módulo de Análise: Origem de Dados da Coleta";
"Data de solicitação 06/01/2020";
"Período Solicitado de 01/01/2020 até 31/01/2020";
"Agente";"Ponto / Grupo";"Data";"Hora";"Ativa C (kWh)";"Ativa G (kWh)";"Reativa C (kVArh)";"Reativa G (kVArh)";"Qualidade";"Origem";
"EMBALATEC";"SPEBITENTR101 (L)";02/01/2020;21;586,344;0,000;371,328;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";02/01/2020;22;633,943;0,000;389,659;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";02/01/2020;23;609,947;0,000;362,239;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";02/01/2020;24;618,237;0,000;386,392;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;1;367,130;0,000;170,159;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;2;233,497;0,000;57,603;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;3;231,076;0,000;54,865;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;4;228,826;0,000;66,611;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;5;232,542;0,000;72,413;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;6;229,423;0,000;63,441;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;7;599,786;0,000;382,662;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;8;716,843;0,000;482,327;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;9;710,889;0,000;468,638;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;10;700,095;0,000;469,796;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;11;346,309;0,000;140,623;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;12;593,716;0,000;392,800;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;13;709,409;0,000;493,645;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;14;703,131;0,000;477,803;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;15;658,077;0,000;407,528;0,052;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;16;550,410;0,000;311,483;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;17;651,133;0,000;413,322;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;18;651,945;0,000;429,237;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;19;649,535;0,000;411,684;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;20;258,644;0,000;63,137;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;21;629,767;0,000;394,964;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;22;616,326;0,000;384,806;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;23;707,769;0,000;461,633;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";03/01/2020;24;696,914;0,000;466,410;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;1;399,017;0,000;174,129;0,029;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;2;273,354;0,000;96,345;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;3;271,890;0,000;95,755;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;4;266,925;0,000;92,746;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;5;267,742;0,000;94,597;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;6;263,692;0,000;89,446;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;7;608,383;0,000;393,667;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;8;699,718;0,000;503,126;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;9;685,743;0,000;453,017;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;10;760,326;0,000;516,098;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;11;349,924;0,000;158,575;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;12;608,129;0,000;388,810;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;13;743,856;0,000;531,639;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;14;775,505;0,000;538,541;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;15;682,798;0,000;451,199;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;16;537,539;0,000;295,743;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;17;617,416;0,000;435,613;0,000;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;18;618,930;0,000;371,688;0,021;"Completo";"COLETA DIÁRIA";
"EMBALATEC";"SPEBITENTR101 (L)";04/01/2020;19;666,153;0,000;412,836;0,001;"Completo";"COLETA DIÁRIA";
