Módulo de Análise: Origem de Dados da Coleta;;;;;;;;;
Data de solicitação 26/02/2020;;;;;;;;;
Período Solicitado de 01/01/2020 até 31/01/2020;;;;;;;;;
Agente;Ponto / Grupo;Data;Hora;Ativa C (kWh);Ativa G (kWh);Reativa C (kVArh);Reativa G (kVArh);Qualidade;Origem
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;23;102,923;0;59,116;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);02/01/2020;24;94,786;0;56,426;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;1;90,944;0;54,608;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;2;92,017;0;52,564;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;3;89,574;0;53,62;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;4;90,59;0;51,282;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;5;84,854;0;53,922;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;6;90,636;0;50,75;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;7;101,278;0;54,228;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;8;126,408;0;60,706;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;9;133,381;0;67,206;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;10;141,258;0;68,952;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;11;141,113;0;68,016;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;12;145,688;0;70,326;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;13;142,371;0;72,524;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;14;148,74;0;70,619;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;15;154,956;0;77,278;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;16;154,498;0;80,378;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;17;141,634;0;73,836;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;18;146,664;0;72,051;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;19;146,182;0;73,909;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;20;139,137;0;68,231;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;21;135,855;0;66,173;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;22;133,949;0;65,118;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;23;108,059;0;63,752;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);03/01/2020;24;94,95;0;54,588;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;1;96,525;0;60,45;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;2;92,571;0;52,574;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;3;93,275;0;57,156;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;4;88,391;0;48,131;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;5;85,592;0;54,165;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;6;90,129;0;50,738;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;7;104,125;0;55,22;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;8;130,799;0;61,825;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;9;130,507;0;66,868;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;10;135,676;0;66,695;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;11;137,734;0;65,77;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;12;140,629;0;68,808;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;13;140,885;0;70,809;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;14;143,381;0;73,674;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;15;148,592;0;73,468;0;Completo;COLETA DIÁRIA
DELTA SUPERMERCADO;SPDSBAENTR101 (L);04/01/2020;16;151,69;0;78,594;0;Completo;COLETA DIÁRIA
