Tipo de Relatório: Medidas Consolidadas;;;;;;;;;;
Tipo de Agente: Conectante | Nome: BARBOSA 1;;;;;;;;;;
Periodo Solicitado de 01/12/2019 até 31/12/2019;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação
SPASKCENTR101;03/12/2019;7;Liquida;0;84,256;0;33,088;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;8;Liquida;0;88,496;0;39,568;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;9;Liquida;0;96,112;0;44,832;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;10;Liquida;0;91,968;0;42,656;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;11;Liquida;0;93,584;0;41,152;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;12;Liquida;0;89,216;0;41,552;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;13;Liquida;0;95,472;0;46,72;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;14;Liquida;0;90,624;0;41,952;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;15;Liquida;0;90,496;0;43,232;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;16;Liquida;0;92,544;0;42,32;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;17;Liquida;0;88,656;0;42,368;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;18;Liquida;0;86,464;0;42,56;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;19;Liquida;0;85,808;0;42,128;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;20;Liquida;0;89,168;0;41,36;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;21;Liquida;0;86,32;0;42,24;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;22;Liquida;0;89,984;0;40,144;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;23;Liquida;0;74,608;0;33,056;0;Hora Completa Consistente;Consistido
SPASKCENTR101;03/12/2019;24;Liquida;0;65,904;0;31,328;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;1;Liquida;0;57,024;0;28,608;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;2;Liquida;0;61,392;0;30,112;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;3;Liquida;0;54,72;0;28,48;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;4;Liquida;0;59,136;0;27,472;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;5;Liquida;0;55,424;0;27,616;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;6;Liquida;0;76;0;31,52;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;7;Liquida;0;86,384;0;37,952;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;8;Liquida;0;96,16;0;43,04;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;9;Liquida;0;91,936;0;43,888;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;10;Liquida;0;104,224;0;47,616;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;11;Liquida;0;101,632;0;47,616;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;12;Liquida;0;99,936;0;42,112;0;Hora Completa Consistente;Consistido
SPASKCENTR101;04/12/2019;13;Liquida;0;102,464;0;43,792;0;Hora Completa Consistente;Consistido
